id,price_doc
30474,2168377.1856358796
30475,1360375.286581926
30476,5131931.708646797
30477,4141556.109826423
30478,3845812.8896366656
30479,4546140.976032749
30480,1855738.6618389785
30481,405804.7962397337
30482,3980963.997176893
30483,553048.7496707365
30484,11691229.329219446
30485,3845812.08030694
30486,1723825.4756416157
30487,117117.52846887708
30488,319604.45789942145
30489,740602.4684526697
30490,36486637.722548544
30491,49065679.9368321
30492,117118.36799756438
30493,2617004.8363019004
30494,3845814.5150843933
30495,27371468.438433036
30496,12360855.777908556
30497,12057190.692628726
30498,5334417.397579268
30499,6391028.641972639
30500,10737306.50695771
30501,18177345.055103835
30502,2747094.792232625
30503,17711381.060738474
30504,1426471.4103882834
30505,857615.46166455
30506,1.0563760921359062
30507,2848931.4726086184
30508,1855736.3288278729
30509,19851647.530610293
30510,11691231.789455079
30511,21196232.892784566
30512,1527251.0850314423
30513,1855734.513914071
30514,2.0481746941804886
30515,11691231.207411848
30516,3683929.233833082
30517,4546139.66548752
30518,15349820.078325093
30519,15311243.113562617
30520,42653410.933991104
30521,2926444.756229885
30522,3070868.37092074
30523,105398530.11005381
30524,4722778.165618487
30525,736234699.5390246
30526,2901934.8262716904
30527,2354964.6098546907
30528,21586252.539435983
30529,7799348.662993461
30530,13996570.822149113
30531,20348554.27845247
30532,462331.0055391714
30533,30546514.663670957
30534,3845814.1178745255
30535,11691231.765788518
30536,740604.6527849734
30537,12589637.156123139
30538,2012169.8944520876
30539,974139799.4577997
30540,11691232.037870817
30541,88242476.67380604
30542,1.6521324440836906
30543,3739583.5068934634
30544,14281735.07042896
30545,120120432.41343021
30546,679727.1002156213
30547,42653409.45125371
30548,746510.1071617603
30549,1360370.607539922
30550,9420124.378982365
30551,4574985.661180519
30552,1.2308935075998306
30553,90649662.4946278
30554,4658035.255353652
30555,1855736.7026305571
30556,4546140.511393189
30557,36773590.707342416
30558,857615.906150043
30559,60210384.71258935
30560,76455005.33339721
30561,6743887.197954774
30562,22348163.138674006
30563,974139803.8032863
30564,54481327.33060737
30565,387415.9282929078
30566,746510.3556222692
30567,2.734125502407551
30568,100013961.1023618
30569,15094947.267213866
30570,49197915.436205015
30571,10737308.468426548
30572,2901936.9315493107
30573,11691230.223109588
30574,6986057.24808763
30575,28485011.205566958
30576,117116.74267981946
30577,4005788.1785321757
30578,1.2264012694358826
30579,2045907.9716480896
30580,25954942.674051955
30581,8323956.025116302
30582,64778419.746861964
30583,3845814.018195629
30584,14986878.356543832
30585,71091.83864569664
30586,2866807.2463645265
30587,2413455.8419743925
30588,43053274.454028696
30589,16269592.13299466
30590,27763112.02252212
30591,125976.88252535462
30592,2711416.8444580287
30593,12360857.966141306
30594,974139799.3797302
30595,6181154.998876914
30596,708632.7193020731
30597,11691230.235145018
30598,11691231.904035397
30599,23755573.21482326
30600,974139800.9910233
30601,715198.9135056585
30602,1.2273821383714676
30603,11691234.055681787
30604,11907575.458572641
30605,11691230.143400013
30606,12470609.74698805
30607,29965119.291425347
30608,103749.38061776757
30609,746508.6404035836
30610,2747095.0824788734
30611,1855736.4601886943
30612,621702.539326258
30613,42653406.83488335
30614,10660963.962397993
30615,691318.3456967995
30616,1855737.4054885134
30617,14894134.87625993
30618,8344788.548840545
30619,974139803.9925854
30620,0.31146539002656937
30621,57463190.400492415
30622,200629257.07161942
30623,7850972.44289884
30624,462331.0410217047
30625,3070868.11332348
30626,17213412.36913643
30627,2679935.9029502794
30628,11691230.118505642
30629,12009972.643719137
30630,974139803.5914128
30631,3845811.3910812438
30632,4141560.880003363
30633,7733145.893019855
30634,5688494.4106380865
30635,11691232.002254084
30636,553205.7477611452
30637,11691231.159624383
30638,3876846.883264035
30639,18219087.152792737
30640,405805.3227451965
30641,1855733.237023905
30642,20228440.62979482
30643,2210195.6561171263
30644,11691231.947526053
30645,553207.5675790384
30646,1594959.8029383346
30647,1137444.5285749733
30648,25931565.967608467
